club,normalized_total_individual_pressure_per_play,scaled_team_normalized_pressure,normalized_total_generated_path_deviation_per_play,scaled_team_normalized_path_deviation
CAR,2.383316515852295,1.0,3.2018933092804227,0.7165586583156998
MIA,2.379449754771882,0.9907069805901694,3.0633935227593234,0.479438484251002
ATL,2.3464287181459693,0.9113472456813492,3.099630425242582,0.5414782955765363
NE,2.320757232400546,0.8496507481863658,3.0524077112821946,0.4606300976452804
BAL,2.284627389390454,0.7628195927607919,3.2297828029733906,0.7643071911125014
NO,2.2477931158190345,0.6742954734455031,3.3674488781786582,1.0
DEN,2.1799994021762132,0.5113662715513128,3.012461798551168,0.3922402320875369
PIT,2.1606290606318073,0.46481336688413855,2.849161003871403,0.11265920288883624
LV,2.1422442430162767,0.42062898015987127,2.971577811226471,0.32224432498616196
CIN,2.115978573344614,0.3575044754400505,2.5492152291919137,-0.4008664572473677
WAS,2.110192609534486,0.34359901997644293,2.6844813808159214,-0.16928246550410186
KC,2.0754753825048526,0.2601628164116221,2.65010525817908,-0.22813650700167099
TEN,2.0501536028224754,0.19930677043770295,3.062410516539257,0.4777555169926133
NYJ,2.011579470992685,0.10660123514424669,2.6436416864032384,-0.2392025404091207
NYG,1.883992341391259,-0.20002998596650645,2.583872940774228,-0.3415303181131
PHI,1.8825768251295387,-0.20343190809759726,2.665751243575781,-0.20134961531130458
TB,1.8799788417589836,-0.20967566337156018,2.4139594206577,-0.6324327409831785
CHI,1.875371965801275,-0.22074740708764562,2.446004739959223,-0.5775691785070132
SEA,1.8710850057712536,-0.23105029416540113,2.7129562553367332,-0.1205317246369546
HOU,1.8610610091218533,-0.25514104957793915,2.482706816511447,-0.5147329604939737
BUF,1.8503787181740987,-0.2808138892115508,2.598526702279968,-0.31644217490203186
IND,1.843840889648615,-0.2965263074659976,2.550156568476556,-0.3992548263515019
CLE,1.8279592817228982,-0.3346947092999253,2.39859435634535,-0.6587386784562641
SF,1.818524597894927,-0.3573691642547647,2.2092886915477012,-0.9828416486901803
DAL,1.8175785177961172,-0.3596428865092962,2.5806135154234484,-0.3471106552814174
LAC,1.8040266935304599,-0.3922120996880709,2.4613149389410904,-0.5513571738625691
JAX,1.7708448448474488,-0.4719583155655558,2.5332309399814346,-0.4282325459258649
LA,1.7704913239165199,-0.4728079353906711,2.1992666510239975,-1.0000000000000004
GB,1.762128976228048,-0.4929052358870383,2.35502788396699,-0.7333271653646376
ARI,1.5830770315581129,-0.9232222796822107,2.225137221007891,-0.9557079890747766
DET,1.5694715234089398,-0.9559205117895235,2.296056162496057,-0.8342903885675277
MIN,1.5511303533392315,-1.0000000000000004,2.205990204366145,-0.98848886212124
